total_cores,r_index,speedup_asym,speedup_dyn
1.000000,1,1.000000,1.000000
4.000000,1,1.600000,1.600000
16.000000,1,1.882353,1.882353
64.000000,1,1.969231,1.969231
256.000000,1,1.992218,1.992218
1024.000000,1,1.998049,1.998049
4.000000,4,2.000000,2.666667
16.000000,4,3.500000,3.555556
64.000000,4,3.875000,3.878788
256.000000,4,3.968750,3.968992
1024.000000,4,3.992188,3.992203
16.000000,16,4.000000,6.400000
64.000000,16,7.428571,7.529412
256.000000,16,7.870968,7.876923
1024.000000,16,7.968504,7.968872
64.000000,64,8.000000,14.222222
256.000000,64,15.384615,15.515152
1024.000000,64,15.868852,15.875969
256.000000,256,16.000000,30.117647
1024.000000,256,31.360000,31.507692
1024.000000,1024,32.000000,62.060606
4.000000,1,4.000000,4.000000
16.000000,1,6.400000,6.400000
64.000000,1,7.529412,7.529412
256.000000,1,7.876923,7.876923
1024.000000,1,7.968872,7.968872
4096.000000,1,7.992195,7.992195
16.000000,4,8.000000,10.666667
64.000000,4,14.000000,14.222222
256.000000,4,15.500000,15.515152
1024.000000,4,15.875000,15.875969
4096.000000,4,15.968750,15.968811
64.000000,16,16.000000,25.600000
256.000000,16,29.714286,30.117647
1024.000000,16,31.483871,31.507692
4096.000000,16,31.874016,31.875486
256.000000,64,32.000000,56.888889
1024.000000,64,61.538462,62.060606
4096.000000,64,63.475410,63.503876
1024.000000,256,64.000000,120.470588
4096.000000,256,125.440000,126.030769
4096.000000,1024,128.000000,248.242424
16.000000,1,16.000000,16.000000
64.000000,1,25.600000,25.600000
256.000000,1,30.117647,30.117647
1024.000000,1,31.507692,31.507692
4096.000000,1,31.875486,31.875486
16384.000000,1,31.968780,31.968780
64.000000,4,32.000000,42.666667
256.000000,4,56.000000,56.888889
1024.000000,4,62.000000,62.060606
4096.000000,4,63.500000,63.503876
16384.000000,4,63.875000,63.875244
256.000000,16,64.000000,102.400000
1024.000000,16,118.857143,120.470588
4096.000000,16,125.935484,126.030769
16384.000000,16,127.496063,127.501946
1024.000000,64,128.000000,227.555556
4096.000000,64,246.153846,248.242424
16384.000000,64,253.901639,254.015504
4096.000000,256,256.000000,481.882353
16384.000000,256,501.760000,504.123077
16384.000000,1024,512.000000,992.969697
64.000000,1,64.000000,64.000000
256.000000,1,102.400000,102.400000
1024.000000,1,120.470588,120.470588
4096.000000,1,126.030769,126.030769
16384.000000,1,127.501946,127.501946
65536.000000,1,127.875122,127.875122
256.000000,4,128.000000,170.666667
1024.000000,4,224.000000,227.555556
4096.000000,4,248.000000,248.242424
16384.000000,4,254.000000,254.015504
65536.000000,4,255.500000,255.500975
1024.000000,16,256.000000,409.600000
4096.000000,16,475.428571,481.882353
16384.000000,16,503.741935,504.123077
65536.000000,16,509.984252,510.007782
4096.000000,64,512.000000,910.222222
16384.000000,64,984.615385,992.969697
65536.000000,64,1015.606557,1016.062016
16384.000000,256,1024.000000,1927.529412
65536.000000,256,2007.040000,2016.492308
65536.000000,1024,2048.000000,3971.878788
256.000000,1,256.000000,256.000000
1024.000000,1,409.600000,409.600000
4096.000000,1,481.882353,481.882353
16384.000000,1,504.123077,504.123077
65536.000000,1,510.007782,510.007782
262144.000000,1,511.500488,511.500488
1024.000000,4,512.000000,682.666667
4096.000000,4,896.000000,910.222222
16384.000000,4,992.000000,992.969697
65536.000000,4,1016.000000,1016.062016
262144.000000,4,1022.000000,1022.003899
4096.000000,16,1024.000000,1638.400000
16384.000000,16,1901.714286,1927.529412
65536.000000,16,2014.967742,2016.492308
262144.000000,16,2039.937008,2040.031128
16384.000000,64,2048.000000,3640.888889
65536.000000,64,3938.461538,3971.878788
262144.000000,64,4062.426230,4064.248062
65536.000000,256,4096.000000,7710.117647
262144.000000,256,8028.160000,8065.969231
262144.000000,1024,8192.000000,15887.515152
1024.000000,1,1024.000000,1024.000000
4096.000000,1,1638.400000,1638.400000
16384.000000,1,1927.529412,1927.529412
65536.000000,1,2016.492308,2016.492308
262144.000000,1,2040.031128,2040.031128
1048576.000000,1,2046.001951,2046.001951
4096.000000,4,2048.000000,2730.666667
16384.000000,4,3584.000000,3640.888889
65536.000000,4,3968.000000,3971.878788
262144.000000,4,4064.000000,4064.248062
1048576.000000,4,4088.000000,4088.015595
16384.000000,16,4096.000000,6553.600000
65536.000000,16,7606.857143,7710.117647
262144.000000,16,8059.870968,8065.969231
1048576.000000,16,8159.748031,8160.124514
65536.000000,64,8192.000000,14563.555556
262144.000000,64,15753.846154,15887.515152
1048576.000000,64,16249.704918,16256.992248
262144.000000,256,16384.000000,30840.470588
1048576.000000,256,32112.640000,32263.876923
1048576.000000,1024,32768.000000,63550.060606
